Date;Price;Open;High;Low;Vol.;Change %
Sep 14, 2018;2360.26;2359.06;2369.06;2345.51;-;0.12%
Sep 13, 2018;2357.32;2339.40;2373.61;2339.40;-;0.71%
Sep 12, 2018;2340.63;2339.77;2350.00;2328.28;-;0.23%
Sep 11, 2018;2335.19;2336.16;2345.65;2314.80;-;-0.03%
Sep 10, 2018;2335.85;2322.67;2335.85;2320.04;-;0.60%
Sep 07, 2018;2321.82;2321.66;2330.84;2305.27;-;0.05%
Sep 06, 2018;2320.65;2320.08;2342.02;2320.08;-;-0.03%
Sep 05, 2018;2321.33;2333.04;2341.37;2321.33;-;-0.64%
Sep 04, 2018;2336.38;2348.65;2358.88;2332.34;-;-0.41%
Sep 03, 2018;2346.08;2344.30;2353.09;2339.39;-;0.01%
Aug 31, 2018;2345.85;2328.52;2345.85;2310.78;-;0.64%
Aug 30, 2018;2330.92;2352.06;2359.58;2325.80;-;-0.75%
Aug 29, 2018;2348.44;2316.73;2348.44;2316.66;-;1.39%
Aug 28, 2018;2316.28;2313.85;2323.45;2310.99;-;0.14%
Aug 27, 2018;2312.93;2281.87;2312.93;2281.87;-;1.45%
Aug 24, 2018;2279.76;2258.94;2281.74;2240.71;-;0.87%
Aug 23, 2018;2260.04;2293.98;2303.47;2258.11;-;-1.61%
Aug 22, 2018;2297.06;2296.17;2306.10;2278.23;-;0.23%
Aug 21, 2018;2291.76;2274.36;2291.76;2259.81;-;0.85%
Aug 20, 2018;2272.49;2266.06;2279.52;2265.19;-;0.77%
Aug 17, 2018;2255.12;2261.69;2268.89;2247.45;-;-0.26%
Aug 16, 2018;2261.09;2269.02;2273.44;2249.77;-;-0.27%
Aug 15, 2018;2267.13;2281.40;2282.34;2246.45;-;-0.69%
Aug 14, 2018;2282.88;2298.73;2305.88;2268.92;-;-0.12%
Aug 13, 2018;2285.61;2264.60;2298.36;2255.75;-;0.46%
Aug 10, 2018;2275.05;2295.59;2308.46;2259.67;-;-1.50%
Aug 09, 2018;2309.58;2282.02;2309.58;2257.51;-;0.72%
Aug 08, 2018;2293.01;2308.62;2310.65;2275.15;-;-0.83%
Aug 07, 2018;2312.19;2303.47;2320.38;2301.21;-;0.54%
Aug 06, 2018;2299.88;2297.62;2310.96;2286.88;-;0.08%
Aug 03, 2018;2297.99;2294.37;2299.08;2277.30;-;0.12%
Aug 02, 2018;2295.15;2311.78;2321.78;2288.11;-;-0.87%
Aug 01, 2018;2315.18;2317.83;2326.36;2307.99;-;-0.26%
Jul 31, 2018;2321.11;2290.76;2321.11;2286.84;-;1.11%
Jul 30, 2018;2295.72;2288.29;2298.76;2276.68;-;0.13%
Jul 27, 2018;2292.72;2293.87;2298.07;2275.23;-;-0.02%
Jul 26, 2018;2293.07;2287.75;2300.05;2283.01;-;0.45%
Jul 25, 2018;2282.84;2268.11;2285.22;2258.31;-;0.20%
Jul 24, 2018;2278.30;2264.38;2281.62;2263.36;-;0.75%
Jul 23, 2018;2261.25;2250.57;2273.13;2250.57;-;0.60%
Jul 20, 2018;2247.82;2269.97;2274.66;2239.77;-;-0.95%
Jul 19, 2018;2269.45;2297.15;2297.15;2262.99;-;-1.10%
Jul 18, 2018;2294.78;2294.22;2303.39;2284.45;-;-0.70%
Jul 17, 2018;2310.92;2325.28;2325.28;2293.76;-;-1.00%
Jul 16, 2018;2334.18;2343.02;2352.30;2321.33;-;-0.52%
Jul 13, 2018;2346.43;2326.76;2346.43;2324.90;-;1.05%
Jul 12, 2018;2322.06;2332.23;2336.52;2307.95;-;-0.60%
Jul 11, 2018;2336.15;2355.79;2355.44;2326.24;-;-1.23%
Jul 10, 2018;2365.17;2368.28;2379.33;2359.16;-;-0.34%
Jul 09, 2018;2373.17;2351.69;2375.83;2351.69;-;1.18%
Jul 06, 2018;2345.38;2342.62;2350.97;2319.94;-;-0.06%
Jul 05, 2018;2346.86;2299.68;2346.86;2293.78;-;1.86%
Jul 04, 2018;2304.06;2301.68;2309.57;2299.45;-;0.10%
Jul 03, 2018;2301.65;2319.37;2320.41;2296.92;-;-0.76%
Jul 02, 2018;2319.31;2294.10;2327.72;2287.85;-;1.02%
Jun 29, 2018;2295.95;2262.16;2295.95;2261.58;-;2.03%
Jun 28, 2018;2250.26;2254.46;2264.76;2246.92;-;-0.15%
Jun 27, 2018;2253.60;2239.75;2265.33;2223.28;-;1.01%
Jun 26, 2018;2231.03;2238.35;2253.30;2229.47;-;-0.25%
Jun 25, 2018;2236.65;2234.22;2255.69;2232.82;-;-0.58%
Jun 22, 2018;2249.68;2250.99;2262.18;2236.44;-;0.17%
Jun 21, 2018;2245.94;2255.51;2268.93;2243.71;-;-0.46%
Jun 20, 2018;2256.27;2226.49;2263.76;2236.40;-;1.57%
Jun 19, 2018;2221.42;2216.94;2228.84;2192.63;-;-0.05%
Jun 18, 2018;2222.56;2234.53;2241.30;2216.21;-;-0.67%
Jun 15, 2018;2237.53;2254.09;2261.74;2235.93;-;-0.71%
Jun 14, 2018;2253.48;2268.94;2269.10;2247.96;-;-0.76%
Jun 13, 2018;2270.73;2275.69;2283.73;2268.36;-;-0.04%
Jun 11, 2018;2271.74;2283.64;2285.14;2260.40;-;-0.43%
Jun 09, 2018;2281.51;2268.99;2284.13;2268.99;-;0.60%
Jun 08, 2018;2267.92;2313.00;2316.92;2267.92;-;-2.08%
Jun 07, 2018;2316.07;2318.28;2326.44;2316.07;-;0.03%
Jun 06, 2018;2315.45;2319.33;2322.05;2302.70;-;-0.12%
Jun 05, 2018;2318.23;2322.71;2329.03;2310.82;-;-0.23%
Jun 04, 2018;2323.64;2299.65;2324.20;2299.65;-;1.23%
Jun 01, 2018;2295.34;2297.13;2311.95;2292.97;-;-0.33%
May 31, 2018;2302.88;2303.34;2315.15;2289.65;-;0.23%
May 30, 2018;2297.60;2298.52;2307.82;2289.21;-;-0.02%
May 29, 2018;2298.00;2314.11;2316.59;2285.41;-;-0.57%
May 28, 2018;2311.28;2306.23;2314.48;2301.82;-;0.20%
May 25, 2018;2306.57;2297.91;2316.13;2296.91;-;0.55%
May 24, 2018;2294.01;2298.73;2310.08;2289.68;-;-0.07%
May 23, 2018;2295.57;2317.00;2318.77;2294.98;-;-1.35%
May 22, 2018;2326.87;2333.89;2336.77;2317.78;-;-0.25%
